'Rank','Player','FantPos','Age','Weighted_VBD'
1,'Christian McCaffrey','RB',28,8.323809523809524
2,'Josh Allen','QB',28,7.247863247863248
3,'Tyreek Hill','WR',30,6.556521739130435
4,'CeeDee Lamb','WR',25,5.966101694915254
5,'Jalen Hurts','QB',26,5.283185840707965
6,'Nick Chubb','RB',29,4.642857142857143
7,'Derrick Henry','RB',30,4.62962962962963
8,'Travis Kelce','TE',35,4.2
9,'Justin Jefferson','WR',25,3.879120879120879
10,'Sam LaPorta','TE',23,3.823529411764706
11,'Davante Adams','WR',32,3.7796610169491527
12,'Patrick Mahomes','QB',29,3.7217391304347824
13,'Amon-Ra St. Brown','WR',25,3.672566371681416
14,'Kyren Williams','RB',24,3.588235294117647
15,'Mike Evans','WR',31,3.5701754385964914
16,'Puka Nacua','WR',23,3.5294117647058822
17,'Raheem Mostert','RB',32,3.4408602150537635
18,'Joe Mixon','RB',28,3.4285714285714284
19,'Austin Ekeler','RB',29,3.358490566037736
20,'A.J. Brown','WR',27,3.356521739130435
